mVTris,TTris
-66.3,26.14
-65.9,26.76
-65.5,27.16
-64.9,27.67
-64.3,28.1
-63.8,28.57
-63.1,29.07
-62.5,29.57
-61.8,30.16
-61.1,30.62
-60.5,31.09
-59.7,31.64
-59.1,32.07
