mVTris,TTris
-65.9,26.27
-65.7,26.61
-65.1,27.02
-64.7,27.34
-64.2,27.72
-63.8,28.03
-63.3,28.42
-62.7,28.86
-62.3,29.22
-61.8,29.58
-61.2,30.01
-60.6,30.46
-60.0,30.97
-59.4,31.42
