mVTris,TTris
-65.6,26.11
-65.1,26.64
-64.5,27.06
-64.0,27.47
-63.5,27.85
-63.0,28.26
-62.4,28.70
-61.8,29.21
-61.2,29.66
-60.6,30.08
-60.0,30.53
