mVTris,TTris
-67.2,25.77
-66.7,26.22
-66.1,26.71
-65.5,27.14
-65.0,27.56
-64.5,27.94
-64.0,28.40
-63.4,28.77
-63.1,29.07
-62.6,29.43
-62.0,29.94
-61.4,30.36
-60.8,30.80
-60.3,31.17
-59.8,31.59
-59.4,31.89
-59.0,32.21
-58.7,32.42
