mVTris,TTris
-65.7,25.90
-65.2,26.35
-64.7,26.74
-64.1,27.11
-63.6,27.50
-63.2,27.84
-62.6,28.26
-62.0,28.71
-61.5,29.13
-60.9,29.52
-60.3,29.98
-59.8,30.34
-59.3,30.76
-59.0,30.95
