mVTris,TTris
-65.4,26.13
-65.2,26.76
-64.9,27.13
-64.3,27.63
-63.8,28.06
-63.2,28.56
-62.6,29.05
-62.0,29.57
-61.4,30.04
-60.7,30.58
-60.0,31.12
-59.3,31.59
-58.6,32.20
